geo_type,geo_area_id,geo_area_name,borough_id,time_period,Children tested for lead by age 3 years Number,Children tested for lead by age 3 years Number _NOTES,Children tested for lead by age 3 years Percentage,Children tested for lead by age 3 years Percentage _NOTES
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2012,3460,,85,
Neighborhood (UHF 42),502,Stapleton - St. George,5,2012,1410,,83,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2012,2100,,86,
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2014,2920,,85,
Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2,2010,4130,,86,
Neighborhood (UHF 42),305,Upper East Side,3,2008,1960,,71,
Neighborhood (UHF 42),502,Stapleton - St. George,5,2015,1340,,83,
Neighborhood (UHF 42),102,Northeast Bronx,1,2010,1820,,86,
Neighborhood (UHF 42),408,Jamaica,4,2015,3170,,86,
Neighborhood (UHF 42),409,Southeast Queens,4,2013,1470,,75,
Neighborhood (UHF 42),410,Rockaways,4,2009,1080,,82,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2013,860,,83,
Neighborhood (UHF 42),408,Jamaica,4,2008,2960,,82,
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2013,3350,,86,
Neighborhood (UHF 42),202,Downtown - Heights - Slope,2,2013,3210,,81,
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2015,1430,,71,
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2010,2410,,81,
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2010,3760,,84,
Neighborhood (UHF 42),306,Chelsea - Clinton,3,2008,930,,76,
Neighborhood (UHF 42),306,Chelsea - Clinton,3,2012,1010,,75,
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2015,1750,,82,
Neighborhood (UHF 42),406,Fresh Meadows,4,2015,890,,82,
Neighborhood (UHF 42),408,Jamaica,4,2012,3310,,86,
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2009,3730,,83,
Neighborhood (UHF 42),205,Sunset Park,2,2008,1820,,66,
Neighborhood (UHF 42),410,Rockaways,4,2016,990,,81,
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2015,410,,78,
Neighborhood (UHF 42),501,Port Richmond,5,2008,820,,82,
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2011,1710,,83,
Neighborhood (UHF 42),206,Borough Park,2,2009,4030,,66,
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2014,3270,,88,
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2016,1640,,81,
Neighborhood (UHF 42),310,Lower Manhattan,3,2014,700,,76,
Neighborhood (UHF 42),301,Washington Heights,3,2013,2850,,83,
Neighborhood (UHF 42),102,Northeast Bronx,1,2014,1640,,86,
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2008,830,,74,
Neighborhood (UHF 42),407,Southwest Queens,4,2016,2660,,85,
Neighborhood (UHF 42),409,Southeast Queens,4,2016,1360,,72,
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2015,2420,,82,
Neighborhood (UHF 42),409,Southeast Queens,4,2011,1580,,73,
Neighborhood (UHF 42),204,East New York,2,2008,2470,,87,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2009,790,,84,
